Group,A5L,A14L,A26L,A27L,V.A27L,A29L,A33R,V.A33R,A35R,A36R,A44R,A5L-A11L,B2R,B5R,V.B5,B6R,C15L,C18L,C19L,D13L,D14L,E8L,F3L,H3L,I1L,L1R,L4R,M1R,Pool
PD1.1,0.0147,0.01545,0,1.26415,0.0522,0,0,0,0,0.19,0.00135,0,0.23245,0.244,0.86985,0.57575,0.9483,0.0288,0,0.01195,0,0.00205,0.0373,0,0,0,0.059,0.0159,0.9181
PD1.1,0.2609,0.08725,0,0.17365,0.1393,0.04575,0,0,0.00305,0.042,0.03545,0.01505,0.46815,0.409,0.00705,0,0.8937,0.0454,0,0.06585,0,0,0.0413,0,0,0.03085,0.2463,0,0.4701
PD1.1,0,0,0,0,0.0488,0,0.0269,0.0955,0.01125,0.068,0.00435,0,0.43105,0.106,0.19355,0.12585,0.4297,0.0342,0.0054,0,0,0.02645,0.0184,0,0,0.02065,0.5122,0,0.4721
PD1.1,0,0,0,0,0.0089,0,0.0343,0,0,0.209,1.09165,0.03595,0.17795,0.177,0.06945,0.00315,0.5752,0.0716,0,0.08965,0,0.03305,0.0403,0,0,0.01255,0.0363,0,0.2411
PD1.1,0.0248,0,0,0,0.0714,0.0135,0,0.0404,0,0.095,0,0,0.8367,0.163,0.0817,0,0.4035,0.0523,0.001,0.0476,0,0.0334,0.0265,0,0,0,0.0327,0,1.0815
PD1.1,0.124,0.0573,0.0097,0.0684,0.5552,0.0415,0,0.3149,0,0.284,0,0.068,0.415,0.142,0.3353,0.2019,0.7432,0.0465,0,0.072,0.0118,0.1528,0.057,0,0,0.0271,0.0476,0,0.6125
PD1.1,0,0,0.0371,0.0287,0.1733,0.0083,0.0382,0.0532,0,0.005,0,0.0244,0.1926,0.031,0.1313,0.0868,0.3159,0.0491,0,0.0234,0.0475,0.0421,0.0256,0,0,0,0,0.0098,0.2132
PD1.2,0,0.0604,0,0,3.031,0,0.0957,0.0475,0,0.122,0,,0.0614,0.363,0,0,0.9446,0.0276,0.1145,0,0.023,0,0.032,1.4489,0,0.0036,0.0013,0,0.7227
PD1.3,0,0.2273,0.0622,0.1772,2.1796,0.1779,0.0818,0.0787,0.0721,0.106,0.0825,,0.2527,0.318,0,0,0.9788,0.0467,0.1368,0.1149,0.0406,0.1225,0.0518,1.9583,0,0.0318,0.0347,0,0.2406
PD2.1,0,0.04885,0.12655,0.04665,0.0753,0,0.0338,1.9787,1.05685,0.152,0,0.21945,1.49825,0.26,1.68265,1.32705,0.8776,0.0499,0,0.13165,0,1.13205,0.0389,0,0,0,0,0.2592,2.4998
PD2.1,0.1538,0,0,0,0.0712,0,0,3.0681,1.8666,0.137,0.0024,0.5665,1.7489,3.003,3.1287,2.8459,0.6702,0.0876,0.0058,0.0103,0,1.3626,0.0584,0.1029,0,0.0159,0.0876,2.2188,3.0297
PD2.1,0.4857,0.0398,0,0.0261,0.2226,0.0499,0.0486,1.478,1.2949,0.641,0.0111,0.1498,1.6012,0.093,3.6384,3.3358,0.4181,0.0652,0,0.0002,0,1.2307,0.0304,0.1938,0,0.0183,0.0144,1.0729,3.1771
PD2.1,0.3543,0.07475,0,0.15595,0.1542,0.02885,0.0528,0.8395,0.24965,0.079,0,0.08235,1.94125,0.372,2.14765,1.30005,0.8725,0.0713,0,0.05345,0.0039,1.44265,0.0288,0.09835,0,0.01235,0.0772,0.3569,2.4955
PD2.1,0,0.05515,0.00985,0.03825,0.0303,2.74175,0.0621,1.6731,1.85485,0.17,1.23045,0.33195,1.25525,0.117,3.40635,3.15455,0.008,0.455,0.0401,0.04785,0.0213,1.88695,0.039,0.20785,0,0.01545,0.0675,1.2228,3.3275
PD2.1,0.0167,0,0,0,0.0841,0,0.0082,1.3898,0.85525,0.173,0,0.13855,1.66915,0.138,1.99015,1.10505,,,0.0178,0,0.0206,0.68345,,0.03845,0,0,0.007,0.9332,2.4243
PD2.1,0.0791,0,0,0,0.0899,2.0579,0.01,1.5615,1.5525,0,0,0.2718,2.3451,0.045,3.0052,2.6154,0.335,0.1784,0.0876,0.0353,0.0576,1.2996,0.0274,0.1268,0,0,0.2378,1.4394,3.1749
PD2.1,0,0,0,0,0.5315,0,0.0971,1.1221,0.28105,0.472,0,0.07375,1.07045,0.217,0.77275,0.65235,0.6866,0.0641,0,0,0.0462,0.44595,0.1071,0.37115,0,0,0,0.4949,1.5808
PD2.1,0.0313,0.04965,0.01065,0.06445,0.5983,0.00465,0.0913,2.0238,1.26845,0.221,0,0.10435,1.64805,0.095,2.77395,2.59035,0.9211,0.0185,0.0274,0.07615,0.0569,1.39905,0.1906,0.08285,0,0.00865,0.0173,0.8857,3.2394
PD2.1,0.0385,0.0713,0,0.0592,0.4778,0.3041,0,1.0728,0.382,0.349,0.1176,,0.601,0.136,0.4237,0.3211,0.6165,0.0217,0.0322,0.1844,0,0.3099,0.0423,1.1528,0,0.0076,0,0.097,1.4766
PD2.2,0.0288,0.06805,0.07405,0.07015,0,0.00455,0.0085,1.0319,0.36525,0.144,0.02465,0.10145,1.08005,0.325,0.75325,0.65205,1.0004,0.0431,0.0081,0.12655,0,0.60435,0.0333,0,0,0.01795,0.0389,0.0664,1.8651
PD2.2,0.1429,0.0125,0,0.0112,0.0834,0.0002,0.046,1.0781,0.7826,0.072,0.0271,,1.3914,0.166,2.388,2.1045,0.3715,0.0324,0.0473,0,0.0333,0.509,0.0312,0.1155,0,0.1411,0.1529,1.2774,3.3365
PD2.2,0,0.05965,0,0.03305,0.1803,0.07165,0.0338,1.0211,0.68355,0.697,0.02535,0.01655,1.05165,0.15,2.70255,2.42825,0.3249,0.0353,0.0059,0.01015,0,1.65055,0.0048,0.06945,0,0.14095,0.0076,0.4953,3.5043
PD2.2,0.0207,0.0457,0.0325,0.0261,0.0503,0.0116,0.0723,0.5834,0.464,0.216,0.0218,0.0573,1.2337,0.171,0.9988,0.5402,0.5019,0.0369,0.0255,0.0639,0.0633,0.5577,0.0269,0.0222,0,0.007,0,0.462,2.9901
